KG id,KG name,KG SPARQL endpoint,RDF dump link,Ontology,F1-M Unique and persistent ID,F1-D URIs dereferenceability,F2a-M - Metadata availability via standard primary sources,F2b-M Metadata availability for all the attributes covered in the FAIR score computation,F3-M Data referrable via a DOI,F4-M Metadata registered in a searchable engine,F score,A1-D Working access point(s),A1-M Metadata availability via working primary sources,A1.2 Authentication & HTTPS support,A2-M Registered in search engines,A score,I1-D Standard & open representation format,I1-M Metadata are described with VoID/DCAT predicates,I2 Use of FAIR vocabularies,I3-D Degree of connection,I score,R1.1 Machine- or human-readable license retrievable via any primary source,"R1.2 Publisher information, such as authors, contributors, publishers, and sources",R1.3-D Data organized in a standardized way,R1.3-M Metadata are described with VoID/DCAT predicates,R score,FAIR score
omwn-por,OpenWN-PT WordNet (as part of Open Multilingual WordNet),http://omwn.linguistic-lod.org/sparql/,[],False,1,0.0,1,0.67,0,1,0.61,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0,0.75,2.36
omwn-ron,Romanian WordNet (as part of Open Multilingual WordNet),http://omwn.linguistic-lod.org/sparql/,[],False,1,0.0,1,0.67,0,1,0.61,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0,0.75,2.36
omwn-slk,Slovak WordNet (as part of Open Multilingual WordNet),http://omwn.linguistic-lod.org/sparql/,[],False,1,0.0,1,0.67,0,1,0.61,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0,0.75,2.36
omwn-slv,sloWNet WordNet (as part of Open Multilingual WordNet),http://omwn.linguistic-lod.org/sparql/,[],False,1,0.0,1,0.67,0,1,0.61,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0,0.75,2.36
omwn-swe,Swedish WordNet (as part of Open Multilingual WordNet),http://omwn.linguistic-lod.org/sparql/,[],False,1,0.0,1,0.67,0,1,0.61,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0,0.75,2.36
omwn-tha,Thai WordNet (as part of Open Multilingual WordNet),http://omwn.linguistic-lod.org/sparql/,[],False,1,0.0,1,0.67,0,1,0.61,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0,0.75,2.36
panlex,PanLex,http://ld.panlex.org/sparql,[],False,1,0.0,1,0.67,0,1,0.61,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0,0.75,2.36
parole-simple-lexinfo-ontology-lexicons,Parole/Simple 'lexinfo' Ontology & lexicons,,"['https://github.com/martavillegas/ParoleSimpleLemon/blob/master/ParoleOntologyLod.ttl', 'https://github.com/martavillegas/ParoleSimpleLemon/blob/master/ParoleSimpleCatala.ttl']",False,1,0.0,1,0.67,0,1,0.61,1.0,1,0.0,1,0.75,1,0,0.0,1,0.5,1,1,1,0,0.75,2.61
pdev-lemon,PDEV-Lemon,,[],False,1,0.0,1,0.44,0,1,0.57,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0,0.75,2.32
phoible,Phonetics Information Base and Lexicon (PHOIBLE),http://linked-data.org/sparql,[],False,1,0.0,1,0.67,0,1,0.61,0.5,1,0.0,1,0.62,1,0,0.0,1,0.5,1,1,1,0,0.75,2.48
polymath-virtual-library,Polymath Virtual Library (Authority data) - Fundación Ignacio Larramendi,,[],False,1,0.0,1,0.56,0,1,0.59,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0,0.75,2.34
premon,PreMOn (Predicate Model for Ontologies),http://premon.fbk.eu/sparql,[],False,1,0.0,1,0.56,0,1,0.59,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0,0.75,2.34
racai-llod-corola-we,Romanian CoRoLa Word Embeddings,,['http://www.racai.ro/p/llod/resources/corola.300.20.vec.ttl'],False,1,0.0,1,0.56,0,1,0.59,1.0,1,0.0,1,0.75,1,0,0.0,0,0.25,1,1,1,0,0.75,2.34
racai-llod-romanian-treebank,Universal Dependencies Treebank Romanian,,['http://www.racai.ro/p/llod/resources/rrt_llod.zip'],False,1,0.0,1,0.56,0,1,0.59,1.0,1,0.0,1,0.75,1,0,0.0,0,0.25,1,1,1,0,0.75,2.34
reuters-128-nif-ner-corpus,Reuters-128 NIF NER Corpus,,['https://raw.githubusercontent.com/AKSW/n3-collection/master/Reuters-128.ttl'],False,1,0.0,1,0.44,0,1,0.57,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0,0.75,2.32
rkb-explorer-wordnet,WordNet (RKBExplorer),http://wordnet.rkbexplorer.com/sparql/,[],False,1,0.0,1,0.67,0,1,0.61,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0,0.75,2.36
rss-500-nif-ner-corpus,RSS-500 NIF NER CORPUS,,['https://raw.githubusercontent.com/AKSW/n3-collection/master/RSS-500.ttl'],False,1,0.0,1,0.44,0,1,0.57,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0,0.75,2.32
saldo-rdf,SALDO-RDF,http://demo.spraakdata.gu.se/ltlod/test/,[],False,1,0.0,1,0.56,0,1,0.59,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0,0.75,2.34
saldom-rdf,SALDOM-RDF,http://demo.spraakdata.gu.se/ltlod/test/,[],False,1,0.0,1,0.56,0,1,0.59,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0,0.75,2.34
semanticquran,SemanticQuran,http://semanticquran.aksw.org/sparql,[],True,1,0.0,1,0.78,1,1,0.8,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0,0.75,2.55
sentiws,SentimentWortschatz,http://mlode.nlp2rdf.org/sparql,[],False,1,0.0,1,0.67,0,1,0.61,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0,0.75,2.36
simple,SIMPLE,,"['http://www.languagelibrary.eu/owl/simple/psc/pscLemon.ttl', 'http://www.languagelibrary.eu/owl/simple/inds/SimpleEntries.ttl']",False,1,0.0,1,0.56,0,1,0.59,1.0,1,0.0,1,0.75,1,0,0.0,1,0.5,1,1,1,0,0.75,2.59
